Sr No,Symbol
1,20MICRONS
2,21STCENMGM
3,3IINFOLTD
4,63MOONS
5,AADHARHFC
6,AAREYDRUGS
7,AARTECH
8,AARTIDRUGS
9,AARTIIND
10,AARTISURF
11,ABCAPITAL
12,ABSLBANETF
13,ACE
14,ACMESOLAR
15,ADANIENSOL
16,ADANIENT
17,ADANIGREEN
18,ADANIPORTS
19,ADANIPOWER
20,ADROITINFO
21,AEGISLOG
22,AETHER
23,AGROPHOS
24,AIAENG
25,AJAXENGG
26,ALPEXSOLAR
27,AMBER
28,AMBICAAGAR
29,ANANTRAJ
30,ANDHRSUGAR
31,ANGELONE
32,ANUP
33,APARINDS
34,APEX
35,APOLLO
36,APTUS
37,ARENTERP
38,ARVIND
39,ARVINDFASN
40,ASHAPURMIN
41,ASHOKLEY
42,ASTRAMICRO
43,ATHERENERG
44,ATLANTAA
45,AURUM
46,AVALON
47,AVROIND
48,AWL
49,AXISBANK
50,AYMSYNTEX
51,AZAD
52,BAJAJ-AUTO
53,BAJAJFINSV
54,BAJAJHCARE
55,BAJAJHFL
56,BAJFINANCE
57,BALMLAWRIE
58,BALRAMCHIN
59,BALUFORGE
60,BANDHANBNK
61,BANKBARODA
62,BANKINDIA
63,BANSALWIRE
64,BDL
65,BEL
66,BHARATFORG
67,BHARTIARTL
68,BHEL
69,BIKAJI
70,BIOCON
71,BIRLACABLE
72,BIRLACORPN
73,BLAL
74,BLUESTARCO
75,BOMDYEING
76,BORORENEW
77,BPCL
78,BRIGADE
79,BRITANNIA
80,BSOFT
81,CAMS
82,CANBK
83,CAPITALSFB
84,CARBORUNIV
85,CARERATING
86,CARRARO
87,CASHIETF
88,CDSL
89,CEATLTD
90,CENTRUM
91,CERA
92,CESC
93,CGCL
94,CGPOWER
95,CHEMCON
96,CHOLAFIN
97,CIPLA
98,COALINDIA
99,COCHINSHIP
100,COFORGE
101,CPSEETF
102,CREDITACC
103,CROWN
104,CUB
105,CUBEXTUB
106,CUMMINSIND
107,CUPID
108,CYIENT
109,DAMCAPITAL
110,DATAPATTNS
111,DCAL
112,DCBBANK
113,DCMNVL
114,DCXINDIA
115,DDEVPLSTIK
116,DELHIVERY
117,DEVYANI
118,DHANBANK
119,DHANI
120,DHARMAJ
121,DIACABS
122,DIXON
123,DLF
124,DRCSYSTEMS
125,DRREDDY
126,DVL
127,DYCL
128,E2E
129,EASEMYTRIP
130,EDELWEISS
131,EIHAHOTELS
132,ELECON
133,ELECTCAST
134,ELIN
135,EMAMIREAL
136,EMSLIMITED
137,ENGINERSIN
138,EPACK
139,EPL
140,ERIS
141,ESABINDIA
142,ESSARSHPNG
143,ETERNAL
144,ETHOSLTD
145,EXIDEIND
146,FACT
147,FCSSOFT
148,FEDERALBNK
149,FIEMIND
150,FOCUS
151,FOODSIN
152,FORCEMOT
153,FRESHARA
154,FUSIONPP
155,GABRIEL
156,GAIL
157,GALAXYSURF
158,GENUSPOWER
159,GESHIP
160,GILLETTE
161,GINNIFILA
162,GLAXO
163,GLOSTERLTD
164,GMRP&UI
165,GOACARBON
166,GODFRYPHLP
167,GODHA
168,GODREJAGRO
169,GODREJPROP
170,GOKEX
171,GOLD1
172,GOLDETFADD
173,GOLDTECH
174,GOODLUCK
175,GPIL
176,GPTINFRA
177,GREENPLY
178,GRMOVER
179,GRSE
180,GRWRHITECH
181,GSEC10YEAR
182,GSFC
183,GSPL
184,GUJTHEM
185,GULPOLY
186,GVT&D
187,HAL
188,HCC
189,HCLTECH
190,HDFCBANK
191,HDFCLIFE
192,HERCULES
193,HEROMOTOCO
194,HEXATRADEX
195,HFCL
196,HILTON
197,HIMATSEIDE
198,HINDALCO
199,HINDCOPPER
200,HINDUNILVR
201,HONASA
202,HUDCO
203,HYBRIDFIN
204,ICDSLTD
205,ICICIBANK
206,ICICIPRULI
207,ICIL
208,IDEA
209,IDEAFORGE
210,IDFCFIRSTB
211,IEL
212,IEX
213,IFGLEXPOR
214,IGIL
215,IGL
216,IIFL
217,IKS
218,INDHOTEL
219,INDIAGLYCO
220,INDIAMART
221,INDIANB
222,INDIGO
223,INDOTECH
224,INDUSINDBK
225,INFIBEAM
226,INFOMEDIA
227,INFY
228,INGERRAND
229,INOXINDIA
230,INOXWIND
231,INSPIRISYS
232,INTELLECT
233,INTERARCH
234,IOC
235,IOLCP
236,IRB
237,IRCON
238,IRCTC
239,IREDA
240,IRFC
241,ISGEC
242,ITBEES
243,ITC
244,ITCHOTELS
245,IXIGO
246,JAICORPLTD
247,JAYAGROGN
248,JAYNECOIND
249,JETFREIGHT
250,JGCHEM
251,JINDALSTEL
252,JIOFIN
253,JKCEMENT
254,JMFINANCIL
255,JNKINDIA
256,JSWINFRA
257,JUBLINGREA
258,JUNIORBEES
259,JUSTDIAL
260,JWL
261,JYOTICNC
262,KALYANIFRG
263,KALYANKJIL
264,KAYNES
265,KEC
266,KEI
267,KFINTECH
268,KIRLOSENG
269,KIRLPNU
270,KMSUGAR
271,KOPRAN
272,KOTAKBANK
273,KOTHARIPET
274,KPEL
275,KPIGREEN
276,KPITTECH
277,KRBL
278,KRITIKA
279,KRONOX
280,KROSS
281,KRYSTAL
282,LAL
283,LATENTVIEW
284,LICNETFGSC
285,LINC
286,LINCOLN
287,LIQUIDBEES
288,LIQUIDIETF
289,LODHA
290,LPDC
291,LT
292,LTF
293,LTFOODS
294,LTIM
295,LUPIN
296,MAANALU
297,MAFANG
298,MAGADSUGAR
299,MAHABANK
300,MAHKTECH
301,MAHSEAMLES
302,MALUPAPER
303,MANALIPETC
304,MANGCHEFER
305,MANINDS
306,MAPMYINDIA
307,MARALOVER
308,MARICO
309,MARINE
310,MARKSANS
311,MARUTI
312,MASPTOP50
313,MAZDOCK
314,MCL
315,MCLEODRUSS
316,MCX
317,MEDICO
318,MHRIL
319,MICEL
320,MIDHANI
321,MINDSPACE
322,MKPL
323,MODTHREAD
324,MOKSH
325,MONARCH
326,MOREALTY
327,MOSCHIP
328,MOTILALOFS
